"pub_name","pub_adress","pub_postal_code","pub_city"
"O Shannon","30 rue de la Verrerie","13100","Aix-en-Provence"
"Le Sextius Bar","13 Cours Sextius","13100","Aix-en-Provence"
"Le Brigand","17 place Richelme","13100","Aix-en-Provence"
"Le Manoir","25 rue de la Verrerie","13100","Aix-en-Provence"
"L’Unplugged","25 Rue du Bon Pasteur","13100","Aix-en-Provence"
"The Black Unicorn","176 bd Chave","13005","Marseille"
"The Shamrock","17 quai de Rive Neuve","13007","Marseille"
"Little Temple Bar","7 rue de la Paix Marcel Paul","13001","Marseille"
"U-percut","127 rue Sainte","13007","Marseille"
"O’Brady’s Irish Pub","378 ave de Mazargues","13008","Marseille"
